,Unnamed: 0,name,list_date,amount,avg_price,p_pc,wom_index,title,rate,directors,actors,types,region,duration,url,release_year
0,0,21克拉,2018-04-20,10688.0,31.0,7.0,4.6,21克拉‎ (2018),4.6,何念,郭京飞|迪丽热巴|大鹏|包贝尔|刘芮麟|王厂长|张钟仪|榕榕|张杨智子,喜剧|爱情,中国大陆,96.0,https://movie.douban.com/subject/26691361/,2018
1,1,一出好戏,2018-08-10,132009.0,35.0,28.0,7.56,一出好戏‎ (2018),7.2,黄渤,黄渤|舒淇|王宝强|张艺兴|于和伟|王迅|李勤勤|李又麟|宁浩|管虎|梁静|徐峥|陈德森|张磊,剧情|喜剧,中国大陆,134.0,https://movie.douban.com/subject/26985127/,2018
2,2,侏罗纪世界2,2018-06-15,169379.0,35.0,16.0,7.2,侏罗纪世界2 Jurassic World: Fallen Kingdom‎ (2018),6.7,胡安·安东尼奥·巴亚纳,克里斯·帕拉特|布莱丝·达拉斯·霍华德|贾斯蒂斯·史密斯|伊莎贝拉·瑟蒙|拉菲·斯波|托比·琼斯|泰德·拉文|詹姆斯·克伦威尔|黄荣亮|丹妮艾拉·皮内达|杰拉丁·卓别林|杰夫·高布伦|卡米尔·雷米泽斯基|丹尼尔·斯蒂森|皮特·杰森|迈克尔·帕帕约翰|罗伯特·埃姆斯|罗南·萨莫尔斯|麦克斯·贝克|丹尼尔·厄根|戴维·奥拉瓦莱·阿印德,动作|科幻|冒险,美国,128.0,https://movie.douban.com/subject/26416062/,2018
3,3,公牛历险记,2018-01-19,13510.0,32.0,14.0,8.13,公牛历险记 Ferdinand‎ (2017),7.2,卡洛斯·沙尔丹哈,约翰·塞纳|凯特·麦克金农|莉莉·戴|鲍比·坎纳瓦尔|安东尼·安德森|大卫·田纳特|吉娜·罗德里格兹|戴维德·迪格斯|加布里埃尔·伊格莱西亚斯|杰洛德·卡尔迈克|劳尔·埃斯帕扎|米格尔·安赫尔·西尔维斯特|弗卢拉·博格|莎莉·菲利普斯|波瑞斯·科乔|杰克·戈尔|杰特·尤尔根斯米尔|奈尔·迪亚兹|科林·H·墨菲|卡洛斯·沙尔丹哈|杰瑞米·西斯托|路易斯·卡洛斯·德拉·隆巴纳|胡安内斯|茱莉亚·斯卡帕·萨尔达尼亚|拉斐尔·斯卡帕·萨尔达尼亚|卡拉·马丁内斯|乔迪·卡巴勒罗|玛丽亚·佩拉莫尔|娜扎宁·霍马|安德烈亚斯·A·埃斯帕萨|詹姆斯·帕伦博|伯纳多·德·保拉|贝莉塔·莫里诺|蒂姆·诺德奎斯特|阿尔瓦罗·门多萨|卡洛斯·雷格-普拉扎|辛迪·斯拉特里|杰森·弗里基奥内|苏珊娜·巴列斯特罗斯|安娜·帕特丽夏·加梅斯,喜剧|动画|冒险,美国,108.0,https://movie.douban.com/subject/25846857/,2017
4,4,冰雪女王3：火与冰,2018-04-05,6390.0,31.0,9.0,6.04,冰雪女王3：火与冰 Снежная королева 3: Огонь и лед‎ (2016),4.7,阿列克谢·特斯蒂斯林,迪·布拉雷·贝克尔|洛瑞·加纳|Devin Bailey Griffin|杰森·格里菲斯|格林汉姆·豪斯蒂德|Laurie Hymes|瓦内莎·约翰逊|加利克·哈尔拉莫夫|萨马拉·娜耶姆|伊万·阿赫洛贝斯金|Scottie Ray|Alyson Leigh Rosenfeld|Eileen Stevens|Billy Bob Thompson|马克·汤普森,动画|冒险|家庭,俄罗斯,90.0,https://movie.douban.com/subject/26588783/,2016
5,5,动物世界,2018-06-29,50880.0,37.0,15.5,7.314999999999999,动物世界‎ (2018),7.3,韩延,李易峰|迈克尔·道格拉斯|周冬雨|曹炳琨|王戈|苏可,剧情|动作|冒险,中国大陆,132.0,https://movie.douban.com/subject/26925317/,2018
6,6,勇敢者游戏：决战丛林,2018-01-12,47669.0,34.0,19.0,7.87,勇敢者游戏：决战丛林 Jumanji: Welcome to the Jungle‎ (2017),6.9,杰克·卡斯丹,道恩·强森|凯文·哈特|杰克·布莱克|凯伦·吉兰|尼克·乔纳斯|瑞斯·达比|鲍比·坎纳瓦尔|亚历克斯·沃尔夫|瑟达吕斯·布兰|麦迪森·伊瑟曼|摩根·特纳|梅森·古乔内|马克·埃文·杰克逊|玛琳·辛科|特雷西·邦纳|玛莉贝丝·梦露|米西·派勒|杰米·雷内尔|卡尔利斯·布克|罗翰·昌德|科林·汉克斯,动作|奇幻|冒险,美国,119.0,https://movie.douban.com/subject/26586766/,2017
7,7,南极之恋,2018-02-01,23334.0,32.0,11.0,7.88,南极之恋‎ (2018),6.7,吴有音,赵又廷|杨子姗,爱情|冒险,中国大陆,117.0,https://movie.douban.com/subject/26628329/,2018
8,8,厉害了，我的国,2018-03-02,43971.0,32.0,28.0,0.0,厉害了，我的国‎ (2018),4.3,卫铁,,纪录片,中国大陆,90.0,https://movie.douban.com/subject/30152451/,2018
9,9,厕所英雄,2018-06-08,9447.0,31.0,7.0,7.27,厕所英雄 Toilet - Ek Prem Katha‎ (2017),7.1,什里·那拉扬·辛,阿克谢·库玛尔|阿努潘·凯尔|布米·佩德卡尔|拉什·沙玛|萨钦·克德卡|莎娜·可汗|迪韦严杜·沙玛,剧情|喜剧,印度,150.0,https://movie.douban.com/subject/26942645/,2017
10,10,反贪风暴3,2018-09-14,40473.0,36.0,11.0,0.0,反贪风暴3 L風暴‎ (2018),5.6,林德禄 ,古天乐|张智霖|郑嘉颖|邓丽欣|栢天男|谢天华|张继聪|夏嫣|蔡瀚亿|廖启智|谭耀文|卢海鹏|罗兰|麦长青|张松枝|陈庭欣|丁海峰|冯雷|李昕岳,剧情|动作|犯罪,香港,97.0,https://movie.douban.com/subject/26996640/,2018
11,11,古墓丽影：源起之战,2018-03-16,48627.0,35.0,14.0,6.73,古墓丽影：源起之战 Tomb Raider‎ (2018),6.0,罗阿尔·乌索格,艾丽西亚·维坎德|多米尼克·威斯特|沃尔顿·戈金斯|吴彦祖|克里斯汀·斯科特·托马斯|汉娜·乔恩-卡门|尼克·弗罗斯特|德里克·雅各比|安东尼奥·阿克儿|亚历山大·维尧姆|杰美·温斯顿|迈克尔·奥拜奥拉|艾米丽·凯里|肯尼思·霍,动作|冒险,美国,118.0,https://movie.douban.com/subject/3445906/,2018
12,12,后来的我们,2018-04-28,135813.0,34.0,30.5,6.33,后来的我们‎ (2018),5.9,刘若英,井柏然|周冬雨|田壮壮|曲哲明|刘启恒|苏小明|邹倚天|张子贤|施予斐|李剑青,剧情|爱情,中国大陆,120.0,https://movie.douban.com/subject/26683723/,2018
13,13,哆啦A梦：大雄的金银岛,2018-06-01,20919.0,30.0,10.0,6.43,哆啦A梦：大雄的金银岛 ドラえもん のび太の宝島‎ (2018),6.5,今井一晓,水田山葵|大原惠美|嘉数由美|木村昴|关智一|高桥茂雄|长泽雅美|大泉洋|山下大辉|折笠富美子|大友龙三郎|早见沙织|悠木碧,动画|奇幻|冒险,日本,109.0,https://movie.douban.com/subject/27069070/,2018
14,14,唐人街探案2,2018-02-16,339240.0,37.5,35.5,7.525,唐人街探案2‎ (2018),6.7,陈思诚,王宝强|刘昊然|肖央|刘承羽|尚语贤|王迅|妻夫木聪|迈克尔·皮特|白灵|元华|曾江|王成思|杨金赐|范湉湉|佟丽娅|陈思诚,喜剧|动作|犯罪|悬疑,中国大陆,121.0,https://movie.douban.com/subject/26698897/,2018
15,15,嗝嗝老师,2018-10-12,12708.0,30.0,9.0,7.85,嗝嗝老师 Hichki‎ (2018),7.5,西达夫·马贺拉,拉妮·玛克赫吉|内拉吉·卡比|萨钦|苏普丽雅·皮尔加卡尔|罗特·萨拉夫|维克拉姆·戈克哈尔|雷伊·舒克拉|阿西夫·巴斯拉|加纳特·拉玛妮|侯赛因·达拉尔|伊万·罗德里格斯|坤纳·斯内德|哈许‧梅尔|什库马尔·苏布拉马尼亚姆,剧情|喜剧,印度,116.0,https://movie.douban.com/subject/30140571/,2018
16,16,复仇者联盟3：无限战争,2018-05-11,238864.0,37.0,15.0,7.83,复仇者联盟3：无限战争 Avengers: Infinity War‎ (2018),8.1,安东尼·罗素|乔·罗素,小罗伯特·唐尼|克里斯·海姆斯沃斯|克里斯·埃文斯|马克·鲁弗洛|乔什·布洛林|佐伊·索尔达娜|本尼迪克特·康伯巴奇|克里斯·帕拉特|汤姆·赫兰德|伊丽莎白·奥尔森|保罗·贝坦尼|斯嘉丽·约翰逊|查德维克·博斯曼|塞巴斯蒂安·斯坦|唐·钱德尔|汤姆·希德勒斯顿|安东尼·麦凯|黄凯旋|戴夫·巴蒂斯塔|布莱德利·库珀|范·迪塞尔|凯伦·吉兰|利蒂希娅·赖特|庞·克莱门捷夫|凯莉·库恩|汤姆-沃恩-劳勒|海登·瓦尔希|迈克尔·詹姆斯·肖|泰瑞·诺塔里|本尼西奥·德尔·托罗|彼特·丁拉基|罗斯·马昆德|丹娜·奎里拉|温斯顿·杜克|弗洛伦丝·卡松巴|塞缪尔·杰克逊|雅各布·巴特朗|斯坦·李,动作|科幻|奇幻|冒险,美国,150.0,https://movie.douban.com/subject/24773958/,2018
17,17,大闹西游,2018-09-22,3419.0,34.0,10.0,0.0,大闹西游‎ (2018),5.8,马系海,孙晔|沈达威|陶典|刘北辰,喜剧|动画|冒险,中国大陆,92.0,https://movie.douban.com/subject/30142649/,2018
18,18,头号玩家,2018-03-30,139666.0,36.333333333333336,19.666666666666668,5.14,头号玩家 Ready Player One‎ (2018),8.7,史蒂文·斯皮尔伯格,泰伊·谢里丹|奥利维亚·库克|本·门德尔森|马克·里朗斯|丽娜·维特|森崎温|赵家正|西蒙·佩吉|T·J·米勒|汉娜·乔恩-卡门|拉尔夫·尹爱森|苏珊·林奇|克莱尔·希金斯|劳伦斯·斯佩尔曼|佩蒂塔·维克斯|艾萨克·安德鲁斯,动作|科幻|冒险,美国,140.0,https://movie.douban.com/subject/4920389/,2018
19,19,奇迹男孩,2018-01-19,13617.0,30.0,14.0,8.93,奇迹男孩 Wonder‎ (2017),8.6,斯蒂芬·卓博斯基,雅各布·特伦布莱|朱莉娅·罗伯茨|伊扎贝拉·维多维奇|欧文·威尔逊|诺亚·尤佩|丹妮尔·罗丝·拉塞尔|纳吉·杰特|戴维德·迪格斯|曼迪·帕廷金|布莱斯·吉扎尔|艾尔·麦金农|泰·孔西利奥|詹姆斯·休斯|凯尔·布瑞特科夫|米莉·戴维斯|莉娅·朱厄特|凯琳·布瑞特科夫|利亚姆·迪金森|艾玛·特伦布莱|马克·多兹劳|鲁奇娅·伯纳德|J·道格拉斯·斯图瓦特|阿里·利伯特|埃丽卡·麦基特里克|本杰明·拉特纳|杰森·麦金农|索尼娅·布拉加|吉洁特,剧情|儿童|家庭,美国,114.0,https://movie.douban.com/subject/26787574/,2017
20,20,寂静之地,2018-05-18,19225.0,31.0,11.0,7.0,寂静之地 A Quiet Place‎ (2018),6.3,约翰·卡拉辛斯基,艾米莉·布朗特|约翰·卡拉辛斯基|米利森特·西蒙兹|诺亚·尤佩|凯德·伍德沃德|里昂·拉瑟姆|桃乐丝·麦卡锡,惊悚|恐怖,美国,91.0,https://movie.douban.com/subject/26997663/,2018
21,21,小萝莉的猴神大叔,2018-03-02,28329.0,31.0,17.0,7.56,小萝莉的猴神大叔 Bajrangi Bhaijaan‎ (2015),8.5,卡比尔·汗,萨尔曼·汗|哈莎莉·马洛特拉|卡琳娜·卡普尔|纳瓦祖丁·席迪圭|欧姆·普瑞|梅·维贾|席尔帕.舒克拉|拉什·沙玛|沙拉蒂·瑟斯纳|阿图·斯里瓦斯塔瓦|阿德南·萨米|马诺·巴克什,剧情|喜剧|动作,印度,141.0,https://movie.douban.com/subject/26393561/,2015
22,22,巨齿鲨,2018-08-10,102581.0,38.0,24.0,6.86,巨齿鲨 The Meg‎ (2018),5.8,乔·德特杜巴,杰森·斯坦森|李冰冰|雷恩·威尔森|鲁比·罗丝|赵文瑄|佩吉·肯尼迪|杰西卡·麦克娜美|奥拉维尔·达里·奥拉夫松|罗伯特·泰勒|蔡书雅|丘增|克利夫·柯蒂斯|安佑森|罗伯·基帕-威廉姆斯|维他亚·潘斯林加姆|安得烈·格兰杰|蒂姆·王|史蒂文·A·戴维斯|托万达·马尼莫|买红妹,动作|科幻|惊悚,美国,115.0,https://movie.douban.com/subject/26426194/,2018
23,23,巴霍巴利王2：终结,2018-05-04,7642.0,31.0,7.0,8.13,巴霍巴利王2：终结 Baahubali 2: The Conclusion‎ (2017),7.1,S·S·拉贾穆里,帕拉巴斯|拉纳·达格巴提|安努舒卡·谢蒂|特曼娜·芭蒂亚|萨伯拉杰|拉姆亚·克里希南|纳赛尔|挲塞亚拉杰,剧情|动作|奇幻,印度,141.0,https://movie.douban.com/subject/26420932/,2017
24,24,幕后玩家,2018-04-28,35861.0,35.5,17.0,6.725,幕后玩家‎ (2018),5.7,任鹏远,徐峥|王丽坤|王砚辉|段博文|任达华|于和伟|朱珠|赵达|谢楠|鲍晓,剧情|犯罪|悬疑,中国大陆,114.0,https://movie.douban.com/subject/26774033/,2018
25,25,幸福马上来,2018-06-08,7939.0,32.0,7.0,6.12,幸福马上来‎ (2018),3.8,冯巩|崔俊杰,冯巩|毛俊杰|刘昊然|牛莉|贾玲|张小斐|岳云鹏|姜宏波|白凯南|潘斌龙|涂松岩|宋宁|梁天|夏凡|梁超,喜剧,中国大陆,91.0,https://movie.douban.com/subject/26813286/,2018
26,26,影,2018-09-30,55895.0,36.0,13.0,7.4,影‎ (2018),7.4,张艺谋,邓超|孙俪|郑恺|王千源|王景春|胡军|关晓彤|吴磊,剧情|动作|武侠|古装,中国大陆,116.0,https://movie.douban.com/subject/4864908/,2018
27,27,快把我哥带走,2018-08-17,37378.0,32.0,12.5,3.76,快把我哥带走‎ (2018),6.9,郑芬芬,张子枫|彭昱畅|赵今麦|孙泽源|方翔锐|刘冠毅|姜宏波|徐光宇,喜剧|奇幻,中国大陆,115.0,https://movie.douban.com/subject/30122633/,2018
28,28,悲伤逆流成河,2018-09-21,27399.0,34.0,12.5,3.035,悲伤逆流成河‎ (2018),5.9,落落,赵英博|任敏|辛云来|章若楠|朱丹妮,剧情|爱情,中国大陆,104.0,https://movie.douban.com/subject/27102569/,2018
29,29,我不是药神,2018-07-05,303854.0,35.0,27.0,8.81,我不是药神‎ (2018),9.0,文牧野,徐峥|王传君|周一围|谭卓|章宇|杨新鸣|王佳佳|王砚辉|贾晨飞|龚蓓苾|宁浩|李乃文|岳小军|苇青|富冠铭|巴拉特·巴蒂|喜利图|张海艳|朱耕佑,剧情|喜剧,中国大陆,117.0,https://movie.douban.com/subject/26752088/,2018
30,30,我是你妈,2018-05-11,3620.0,32.0,6.0,6.33,我是你妈‎ (2018),5.0,张骁,闫妮|邹元清|吴若甫|吴大维|耿乐|张恒|曾江|廖学秋|那威|吴樾|曹思达|李政阳,剧情|喜剧,中国大陆,104.0,https://movie.douban.com/subject/26968024/,2018
31,31,找到你,2018-10-05,26684.0,32.0,9.0,7.49,找到你‎ (2018),7.4,吕乐,姚晨|马伊琍|袁文康|吴昊宸|王梓尘|陶昕然|高叶|齐欢,剧情,中国大陆,102.0,https://movie.douban.com/subject/27140071/,2018
32,32,捉妖记2,2018-02-16,223647.0,37.5,32.5,6.765,捉妖记2‎ (2018),5.0,许诚毅,梁朝伟|白百何|井柏然|李宇春|杨祐宁|大鹏|吴君如|曾志伟|黄磊|柳岩|吴莫愁|伍嘉成|赵磊|谷嘉诚|彭楚粤|陈泽希|郭子凡|肖战|焉栩嘉|夏之光|姜超|娄艺潇|张俪,喜剧|奇幻,中国大陆,110.0,https://movie.douban.com/subject/26575103/,2018
33,33,摩天营救,2018-07-20,60627.0,35.0,18.0,6.95,摩天营救 Skyscraper‎ (2018),6.4,罗森·马歇尔·瑟伯,道恩·强森|内芙·坎贝尔|黄经汉|罗兰·默勒|麦肯纳·罗伯茨|诺亚·科特雷尔|诺亚·泰勒|巴勃罗·施瑞博尔|凯文·兰金|昆凌|文峰|马特·欧莱瑞|比特里斯·金|马志|保罗·麦克吉莱恩|吴嘉星|艾德里安·霍姆斯|维努斯·特雷佐|杰特·克莱恩|拜伦·劳森|关永扬|法比欧·塔索恩|卡洛·余,动作|惊悚|冒险,美国,102.0,https://movie.douban.com/subject/26804147/,2018
